id,texto,categoria,prioridad
1412,"Apreciado equipo de soporte, No puedo iniciar sesión en el SIA, me dice usuario o contraseña incorrectos.",plataforma,alta
1405,"Cordial saludo, Mi usuario quedó bloqueado tras varios intentoos de inicio de sesión. Urgente.",plataforma,alta
1052,Solicito información sobre el proceso de matrícula de la maestría.,matricula,baja
1784,"Buenas tardes, Requiero un paz y salvo financiero para iniciar mi grado.",certificados,alta
1186,"Buenos días, Aparece una asignatura como reprobada pero yo la aprobé.",notas,alta
1548,"Hola, Necesiito renovar el préstamo de un libro que vence hoy.",biblioteca,alta
1624,"Apreciado equipo de soporte, ¿Cómo accedo a las bases de datos científicas desde casa?",certificados,baja
1042,"Buenos días, Pagué el recibo de matrícula pero el sistema sigue mostrándome como no matriculado. Cierra mañana.",matricula,alta
1135,"Buenas tardes, Mea parece un cruce de horarios entre Procesamiento de Lenguaje Natural y otra materia al matricular. Urgente.",matricula,alta
1326,"Apreciado equipo de soporte, Necesito que revisen mi nota de Álgebra Lineal porque afecta mi grado.",notas,alta
1112,Quiero cancelar la asignatura Álgebra Lineal antes de la fecha límite.,matricula,media
1677,"Buenas tardes, Solicito ampliar el plazo de préstamo de un libro para mi tesis.",biblioteca,media
1706,¿Dónde solicito el diploma y acta de grado? Cierra mañana.,certificados,alta
1725,"Buenos días, Solicito una constancia de estudios para un trámite laboral.",certificados,baja
1173,"Hola, ¿Dónde puedo consultar mi historia académica con las notas? Urgente.",notas,alta
1564,"Estimados, No puedo descargar artículos de la base de datos institucional.",biblioteca,alta
1214,"Estimados, D¿ónde puedo consultar mi historia académica con las notas?",notas,baja
1684,"Estimados, Solicito una constancia de estudios para un trámite laboral.",certificados,media
1709,"Hola, ¿Cómo descargo el certificado de notas desde el SIIA?",certificados,media
1707,"Hola, Necesito un certificado de notasc on urgencia para una beca que cierra hoy.",certificados,media
1637,"Apreciado equipo de soporte, No puedo descargar artículos de la base de datos institucional.",biblioteca,alta
1631,"Buenos días, Solicito amplair el plazo de préstamo de un libro para mi tesis. Es para hoy.",biblioteca,alta
1839,"Estimados, ¿Cómo descargo el certificado de notas desde el SIA?",certificados,baja
1762,"Buenas tardes, Solicito una constancia de estudios para un trámite laboral.",certificados,media
1529,"Estimados, No puedo descargar artículos de la base de datos institucional. Urgente.",biblioteca,alta
1201,"Cordial saludo, ¿Cuándo se publican las notas definitivas del semestre 2027-1?",notas,baja
1142,Quiero cancelar la asignatura Bases de Datos antes de la fecha límite. Es muy importante.,matricula,alta
1232,¿Cuándo se publican las notas definitivas del semestre 2026-2?,notas,baja
1669,No puedo descargar artículos de la base de datos institucional.,biblioteca,media
1103,"Buenas tardes, No me deja matricuular porque tengo una deuda pendiente que ya pagué.",matricula,alta
1499,La página de la universidad está muy lenta hoy.,plataforma,media
1696,"Cordial saludo, El certificado que descargué tiene mis datos personales equivocados.",certificados,media
1602,"Cordial saludo, Quiero reservar una sala de estudio en la biblioteca.",certificados,baja
1842,¿Dónde solicito el diploma y acta de grado?,certificados,baja
1273,Quiero hacer un reclamo dec alificación en la asignatura Cálculo Diferencial.,notas,media
1327,"Hola, Necesito que revisen mi nota de Programación porque afecta mi grado.",notas,media
1794,"Hola, Necesito constancia de matrícula para el sisbén / EPS.",certificados,media
1737,Requiero un paz y salvo financierro para iniciar mi grado.,certificados,alta
1092,"Estimados, Quiero saber cuántos créditos puedo inscribir este semestre.",matricula,baja
1134,"Buenas tardes, Quiero saber cuántos créditos puedo inscribir este semestre.",matricula,media
1359,"Apreciado equipo de soporte, El portal académico me muestra un erro r500 al ingresar.",plataforma,alta
1046,¿Cuándo abre el periodo de matrícula para eel semestre 2026-2?,matricula,baja
1286,"Estimados, La nota que registró el docente de Inteligencia Artificial no coincide con la del examen.",notas,media
1853,"Buenas tardes, Voy a graduarme y me falta el paz y salvo de biblioteca y el certificado de notas.",certificados,alta
1025,"Buenos días, Solicito información sobre el proceso de matrícula de la maestría.",matricula,baja
1854,"Buenos días, No aparece mi matrícula y tampoco puedo generar la constancia de estudios. Es muy importante.",matricula,alta
1026,"Cordial saludo, Pagué el recibo de matrícula pero el sistema sigue mostrándome como no matriculado.",matricula,alta
1929,"Cordial saludo, El sistema no me deja ver mis notas ni descargar el certificado.",certificados,media
1281,"Buenos días, Solicito el reporte de notas parciales de mis materias.",notas,baja
1605,"Hola, Devolví un libro pero todavía figura como prestado a mi nombre.",biblioteca,media
1761,"Cordial saludo, Necesito un certificado de notas con urgencia para una beca que cierra hoy. Es para hoy.",certificados,alta
1859,"Buenas tardes, La biblioteca dice que tengo multa y por eso no me deja matricular.",matricula,alta
1450,"Buenos días, No puedo acceder a la plataforma Moodle del curso Procesamiento de Lenguaje Natural.",plataforma,media
1378,La plataforma SIA se cae cada vez que intento matricular.,plataforma,alta
1528,Solicito ampliar el plazo de préstamo de un libro para mi tesis.,biblioteca,baja
1888,Quiero reclamar una nota pero el SIA no me deja iniciar sesión.,notas,media
1927,No aparece mi matrícula y tampoco puedo generar la constancia de estudios.,matricula,media
1596,"Cordial saludo, Me aparece una multa en la biblioteca que no reconozco.",biblioteca,media
1729,"Buenas tardes, Requiero un paz y salvo financiero para iniciar mi grado.",certificados,alta
1874,"Hola, Tengo problemas para acceder a Moodle y ver mis calificaciones.",plataforma,media
1512,"Apreciado equipo de soporte, El sistema de la biblioteca no me deja hacer el préstamo de un ejemplar.",biblioteca,alta
1163,"Aperciado equipo de soporte, ¿Cuándo abre el periodo de matrícula para el semestre 2027-1?",matricula,baja
1362,"Cordial saludo, La página de la universidad está muy lenta hoy. Cierra mañana.",plataforma,alta
1857,Tengo problemas para acceder a Moodle y ver mis calificaciones.,plataforma,media
1494,"Apreciado equipo de soporte, Mi usuario quedó bloqueado tras varios intentos de inicio de sesión.",plataforma,alta
1769,"Apreciado equipo de soporte, Pedí un certificado hace dos semanas y aún no me lo entregan.",certificados,media
1723,"Cordial saludo, ¿Dónde solicito el diploma y acta de grado?",certificados,baja
1145,¿Puedo hacer una adición extemporánea de Redes Neuronales? Lo necesito ya.,matricula,alta
1109,No me deja matricular porque tengo una deuda pendiente que ya pagué. Es para hoy.,matricula,alta
1877,"Estimados, Solicito ayuda con un trámite, no sé bien a qué área corresponde.",plataforma,baja
1585,Tengo un paz y salvo pendiente con la biblioteca y necesito graduarme.,biblioteca,media
1089,"Cordial saludo, No me deja matricular porque tengo una deuda pendiente que ya pagué.",matricula,alta
1115,"Buenos días, Quiero cancelar la asignatura Álgebra Lineal antes de la fecha límite.",matricula,baja
1484,"Hola, La plataforma SIA se cae cada vez que intento matricular.",plataforma,media
1226,"Buenos días, Quiero hacer un reclamo de calificación en la asignatura Estadística.",notas,media
1649,"Apreciado equipo ed soporet, El sistema de la biblioteca no me deja hacer el préstamo de un ejemplar. Tengo plazo hasta hoy.",biblioteca,alta
1009,Solicito información sobre el proceso de matrícula de la maestría.,matricula,baja
1593,"Estimados, ¿Cuál es el horario de atención de la biblioteca?",biblioteca,baja
1050,No puedo inscribir la asignatura Sistemas Inteligentes pporque el sistema dice que no hay cupos.,matricula,alta
1604,"Apreciado equipo de soporte, El sistema de la biblioteca no me deja hacer el préstamo de un ejemplar.",biblioteca,media
1262,"Estimados, Aparece una asignatura como reprobada pero yo la aprobé.",notas,alta
1060,No me deja matricular porque tengo una deuda pendiente que ya pagué.,matricula,alta
1259,"Buenos días, El sistema no muestra la nota de Cálculo Diferencial aunque ya presenté el examen.",notas,media
1253,El profesor de Inteligencia Artificial no ha subido las notas y mañana cierra el semestre.,notas,alta
1840,"Buenas tardes, Solicito el certificado de calificaciones para homologar en otra universidad.",certificados,media
1131,Me aparece un cruce de horarios entre Estadística y otra materia al matricular. Es para hoy.,matricula,alta
1005,"Hola, Quiero saber cuántos créditos puedo inscribir este semestre. Es muy importante.",matricula,alta
1445,"Hola, La plataforma SIA se cae cada vez que intento matricular.",plataforma,alta
1076,"Hola, Quiero saber cuántos créditos puedo innscribir este semestre.",matricula,baja
1508,Mi usuario quedó bloqueado tras varios intentos de inicio de sesión.,plataforma,alta
1571,"Cordial saludo, ¿Cuál es el hroario de atención de la biblioteca?",biblioteca,baja
1903,"Buenas tardes, El sistema no me deja ver mis notas ni descargar el certificado.",certificados,media
1297,"Apreciado equipo de soporte, ¿Dónde puedo consultar mi historia académica con las notas?",notas,baja
1586,"Apreciado equipo de soporte, ¿Cuál es el horario de atención de la biblioteeca?",biblioteca,baja
1565,¿Cuál es el horario de atención de la biblioteca?,biblioteca,baja
1039,"Buenas tardes, ¿Puedo hacer una adición extemporánea de Álgebra Lineal?",matricula,alta
1455,No me llega el correo de verificación para restablecer la contraseña.,plataforma,media
1413,Mi usuario quedó bloqueado tras varios intentos de inicio de sesión.,plataforma,alta
1353,No me llega el corre ode verificación para restablecer la contraseña.,plataforma,baja
1670,Devolví un libro pero todavía figura como prestado a mi nombre.,biblioteca,baja
1433,"Buenos días, No puedo acceder a la plataforma Moodle del curso Inteligencia Artificial. Tengo plazo hasta hoy.",plataforma,alta
1349,Olvidé mi contraseña del correo institucional y no puedo recuperarla.,plataforma,media
1704,Solicito el certificado de calificaciones para homologar en otra universidad.,certificados,media
1871,La biblioteca dice que tengo multa y por eso no me deja matricular.,matricula,alta
1800,"Apreciado equipo de soporte, El certificado que descargué tiene mis datos personales equiivocados.",certificados,media
1562,Me aparece una multa en la biblioteca que no reconozco.,biblioteca,media
1275,¿Dónde puedo consultar mi historia académica con las notas?,notas,baja
1324,"Apreciado equipo de soporte, El sistema no muestra la nota de Machine Learning aunque ya presenté el examen.",notas,media
1591,"Apreciado equipo de soporte, ¿Cuál es el horario de atención de la biblioteca? Es muy importante.",biblioteca,alta
1646,"Estimados, Necesito renovar el préstamo de un libro que vence hoy.",biblioteca,alta
1072,"Apreciado equipo de soporte, ¿Cuándo abre el periodo de matrícula para el semestre 2026-2?",matricula,baja
1158,"Estimados, Solicito información sobre el proceso de matrícula de la maestría.",matricula,baja
1116,"Apreciado equipo de soporte, No me deja matricular porque tengo una deuda pendiente que ya pagué. Es para hoy.",matricula,alta
1396,Mi usuario quedó bloqueado tras varios intentos de inicio de sesión.,plataforma,alta
1738,Solicito el certificado de calificaciones para homologar en otra universidad. Lo necesito ya.,certificados,alta
1435,"Estimados, Mi usuario quedó bloqueado tras varios intentos de inicio de sesión. Lo necesito ya.",plataforma,alta
1037,"Cordial saludo, ¿Puedo hacer una adición extemporánea de Cálculo Diferencial?",matricula,media
1822,Solicito una constancia de estudios para un trámite laboral.,certificados,media
1756,"Apreciado equipo de soporte, Necesito un certificado de notas con urgencia para una beca que cierra hoy. Urgente.",certificados,alta
1912,"Estimados, Buenas, tengo una duda general sobre un proceso de la universidad. Cierra mañana.",plataforma,alta
1504,"Cordial saludo, El portal académico me muestra un error 500 al ingresar. Es muy importante.",matricula,alta
1367,"Buenos días, Olvidé mi contraseña del correo institucional y no puedo recuperarla.",plataforma,baja
1409,"Estimados, Mi usuario quedó bloqueado tras varios intentos de inicio de sesión.",plataforma,alta
1584,"Buenos días, ¿Cuál es el horario de atención de la biblioteca?",certificados,baja
1896,"Hola, El sistema no me deja ver mis notas ni descargar el certificado.",certificados,media
1261,Quiero hacer un reclamo de calificación en la asignatura Procesamiento de Lenguaje Natural.,notas,media
1439,La página de la universidad está muy lenta hoy.,plataforma,baja
1208,"Buenos días, El profesor de Minería de Datos no ha subido las notas y mañana cierra el semestre.",notas,alta
1491,No puedo acceder a la plataforma Moodle del curso Sistemas Inteligentes.,plataforma,media
1540,"Estimados, Solicito ampliar el plazo de préstamo de un libro para mi tesis. Lo necesito ya.",biblioteca,alta
1555,"Buenos días, ¿Cuál es el horario de atención de la biblioteca?",biblioteca,baja
1269,"Buenos días, ¿Cuándo se publican las notas definitivas del semestre 2026-2?",notas,baja
1572,"Hola, Necesito renovar el préstamo de un libro que vence hoy.",biblioteca,alta
1823,Necesito constancia de matrícula para el sisbén / EPS.,certificados,media
1543,"Hola, ¿Cuál es el horario de atención de laa biblioteca?",biblioteca,baja
1934,"Buenos días, No aparece mi matrícula y tampoco puedo generar la constancia de estudios.",matricula,media
1507,"Hola, La plataforma SIA se cae cadaa vez que intento matricular.",plataforma,alta
1495,"Apreciado equipo de soporte, El portal académico me muestra un error 500 al ingresar. Es para hoy.",plataforma,alta
1215,"Cordial saludo, ¿Cuándo se publican las notas definitivas del semestre 2027-1?",notas,baja
1277,Solicito el reporte de notas parciales de mis materias. Tengo plazo hasta hoy.,notas,alta
1556,"Buenos días, Tengo un paz y salvo pendiente con la biblioteca y necesito graduarme.",biblioteca,media
1813,Pedí un certificad ohace dos semanas y aún no me lo entregan.,certificados,media
1094,"Buenas tardes, Me aparece un cruce de horarios entre Procesamiento de Lenguaje Natural y otra materia al matricular. Urgente.",matricula,alta
1847,"Estimados, ¿Cómo descargo el certificado de notas desde el SIA?",certificados,baja
1872,"Estimados, No puedo entrar alS IA para inscribir Procesamiento de Lenguaje Natural, ¿es problema de la plataforma o de matrícula?",matricula,media
1712,"Cordial saludo, Solicito una constancia de estudios para un trámite laboral. Cierra mañana.",certificados,alta
1151,No me deja matricular porque tengo una deuda pendiente que ya pagué. Urgente.,matricula,alta
1312,"Buenos días, Mi promedio (PAPA) aparece mal calculado en el sistema.",notas,media
1805,"Hola, Requiero un paz ys alvo financiero para iniciar mi grado.",certificados,alta
1306,"Estimados, ¿Cuándo se publican las notas definitivas del semestre 2026-1?",notas,baja
1689,"Estimados, Necesito constancia de matrícula para el sisbén / EPS.",certificados,baja
1247,"Buenas tardes, Necesito que revisen mi nota de Bases de Datos porque afecta mi grado.",notas,media
1770,"Buenas tardes, Requiero un paz y salvo financiero para iniciar mi grado.",certificados,alta
1305,"Cordial saludo, ¿Cuándo se publican las notas definitivas del semestre 2026-1?",notas,baja
1569,"Buenos días, El sistema de la biblioteca no me deja hacer el préstamo de un ejemplar.",biblioteca,baja
1415,"Buenas tardes, No puedo iniciar sesión en el SIA, me dice usuario o contraseña incorrectos.",plataforma,alta
1423,Mi usuario quedó bloqueado tras varios intentos de inicio de sesión. Cierra mañana.,plataforma,alta
1802,"Buenos días, Solicito una constancia de estudiso para un trámite laboral. Es muy importante.",certificados,alta
1829,Pedí un certificado hace dos semanas y aún no me lo entregan.,certificados,baja
1200,"Buenos días, ¿Dónde puedo consultar mi historia académica con las notas? Es muy importante.",notas,alta
1288,"Estimados, ¿Cuándo se publican las notas definitivas del semestre 2027-1?",notas,baja
1167,"Cordial saludo, ¿Puuedo hacer una adición extemporánea de Machine Learning?",matricula,media
1790,"Hola, El certificcado que descargué tiene mis datos personales equivocados.",certificados,media
1791,"Cordial saludo, ¿Dónde solicito el diploma y acta de grado?",certificados,baja
1804,¿Cómo descargo el certificado de notas desde el SIA?,certificados,baja
1190,Aparece una asignatura como reprobada pero yo la aprobé.,notas,alta
1594,"Estimados, Devolví un libro pero todavía figura como prestado a mi nombre.",biblioteca,media
1287,Aparece una asignatura como reprobada pero yo la aprobé.,notas,alta
1901,"Buenos días, La biblioteca dice que tengo multa y por eso no me deja matricular.",matricula,alta
1648,El sistema de la biblioteca no me deja hacerr el préstamo de un ejemplar.,biblioteca,baja
1417,"Hola, ¿Cómo activo mi cuenta institucional de la universidad?",plataforma,baja
1153,"Cordial saludo, Solicito información sobre el proceso de matríícula de la maestría.",matricula,baja
1236,"Estimados, ¿Cuándo se publican las notas definitivas del semestre 2027-1?",notas,baja
1403,La página de la universidad está muy lenta hoy.,plataforma,baja
1057,"Apreciado equipo de soporte, Quiero saber cuántos créditos puedo inscribir este semestre.",matricula,baja
1347,"Apreciado equipo de soporte, La plataforma SIA se cae cada vez que intento matricular.",plataforma,media
1560,"Buenos días, El sistema de la biblioteca no me deja hacer el préstamo de un ejemplar.",biblioteca,baja
1520,Tengo un paz y salvo pendiente con la biblioteca y necesito graduarme. Tengo plazo hasta hoy.,biblioteca,alta
1850,"Estimados, El sistema no me deja ver mis notas ni descargar el certificado.",certificados,media
1125,"Buenas tardes, No me deja matricular porque tengo una deuda pendiente que ya pagué.",matricula,alta
1742,Necesito un certificado de notas con urgencia para una beca que cierra hoy.,certificados,alta
1860,"Apreciado equipo de soporte, Necesito el certificado pero la plataforma no carga. Lo necesito ya.",certificados,alta
1636,"Apreciado equipo de soporte, Tengo un paz y salvo pendiente con la bibliotec ay necesito graduarme.",biblioteca,alta
1034,"Buenos días, Me aparece un cruce de horarios entre Inteligencia Artificial y otra materia al matricular.",matricula,media
1640,"Cordial saludo, El sistema de la biblioteeca no me deja hacer el préstamo de un ejemplar.",biblioteca,baja
1659,"Buenas tardes, No puedo descargar artículos de la base de datos institucional.",biblioteca,media
1890,"Buenos díass, Necesito el certificado pero la plataforma no carga.",certificados,alta
1229,"Apreciado equipo de soporte, ¿Dónde puedo consultar mi historia académica con las notas? Lo necesito ya.",notas,alta
1121,"Cordial sauldo, Pagué el recibo de matrícula pero el sistema sigue mostrándome como no matriculado.",matricula,alta
1170,"Hola, Necesito que revisen mi nota de Bases de Datos porque afecta mi grado.",notas,media
1264,Necesito que revisenn mi nota de Programación porque afecta mi grado.,notas,media
1283,"Cordial saludo, El profesor de Programación no ha subido las notas y mañana cierra el semestre.",notas,alta
1532,"Buenos días, Solicito ampliar el plazo de préstamo de un libro para mi tessi.",biblioteca,media
1861,"Buenos días, No puedo entrar al SIA para inscribir Programación, ¿es problema de la plataforma o de matrícula? Urgente.",matricula,alta
1422,"Apreciado equipo de soporte, Mi usuario quedó bloqueado tras varios intentos de inicio de sesión.",plataforma,alta
1841,"Buenas tardes, Solicito una constancia de estudios para un trámite laboral.",certificados,media
1291,Necesito que revisen mi nota de Bases de Datos porque afecta mi grado.,notas,alta
1751,"Apreciado equipo de soporte, Pedí un certificado hace dos semanas y aún no me lo entregan.",certificados,alta
1463,"Buenas tardes, La plataforma SIA se cae cada vez que intento matricular.",plataforma,media
1663,Necesito renovar el préstamo de un libro que vence hoy.,biblioteca,alta
1276,"Cordial saludo, Necesito que revisen mi nota de Minería de Datos porque afecta mi grado.",notas,alta
1848,Solicito el certificado de calificaciones para homologar en otra universidad.,certificados,media
1816,¿Cómo descargo el certificad ode notas desde el SIA?,certificados,baja
1917,Tengo problemas para acceder a Moodle y ver mis calificaciones.,plataforma,media
1771,Solicito el certificado de calificaciones para homologar en otra universidad.,certificados,media
1022,"Buenos días, ¿Cuándo abre el periodo de matrícula para el semestre 2026-1?",matricula,baja
1522,"Cordial saludo, Solicito ampliar el plazo de préstamo de un libro para mi tesis.",biblioteca,media
1579,"Buenos días, No puedo descargar artículos de la base de datos institucional. Cierra mañana.",biblioteca,alta
1558,Necesito renovar el préstamo de un libro que vence hoy.,biblioteca,alta
1322,"Apreciado equipo de soporte, Necesito que revisen mi nota de Bases de Datos porque afecta mi grado.",notas,alta
1344,"Buenos días, La página de la universidad está muy lenta hoy.",plataforma,baja
1054,"Apreciado eequipo de soporte, Pagué el recibo de matrícula pero el sistema sigue mostrándome como no matriculado.",matricula,alta
1690,"Buenos días, Solicito el certificado de calificaciones para homologar en otra universidad. Cierra mañana.",certificados,alta
1664,"Buenas tardes, Quiero reservar una sala de estudio en la biblioteca.",biblioteca,media
1246,La nota que registró el docente de Redes Neuronales no coincide con la del examen.,notas,media
1427,No puedo acceder a la plataforma Moodle del curso Inteligencia Artificial. Lo necesito ya.,plataforma,alta
1228,"Buenas tardes, Solicito el reporte de notas parciales de mis materias.",notas,baja
1401,"Hola, La página de la universiadd está muy lenta hoy.",plataforma,baja
1239,¿Dónde puedo consultar mi historia académica con las notas?,notas,baja
1410,¿Cómo activo mi cuenta institucional de la universidad?,plataforma,baja
1645,No puedo descargar artículos de la base de datos institucional.,biblioteca,media
1793,"Cordial saludo, ¿Dónde solicito el diploma y acta de grado?",certificados,baja
1845,Pedí un certificado hace dos semanas y aún no me lo entreggan.,certificados,media
1716,"Estimados, Necesito un certificado de notas con urgencia para una beca que cierra hoy.",certificados,media
1776,"Hola, Requiero un paz y salvo financiero paar iniciar mi grado.",certificados,alta
1764,Necesito un certificado de notas con urgencia para una beca que cierra hoy. Cierra mañana.,certificados,alta
1426,"Apreciado equipo de soporte, El portal académico me muestra un error 500 al ingresar.",plataforma,alta
1557,Solicito ampliar el plazo de préstamo de un libro para mi tesis.,biblioteca,baja
1755,"Cordial saludo, Requiero un paz y salvo financiero para iniciar mi grado.",certificados,alta
1904,"Solicito ayuda con un trámite, no sé bien a qué área corresponde.",plataforma,baja
1302,Quiero hacer un reclamo de calificación en la asignatura Redes Neuronales.,notas,media
1642,"Hola, ¿Cómo accedo a las abses de datos científicas desde casa?",biblioteca,baja
1314,El sistema no muestra la nota de Inteligencia Artificial aunque ya presenté el examen.,notas,media
1466,"Buenos días, El portal académico me muestra un error 500 al ingresar.",plataforma,alta
1418,Olvidé mi contraseña del correo institucional y no puedo recuperarla.,plataforma,media
1676,"Apreciado equipo de soporte, Necesito renovar el préstamo de un libro que vence hoy.",biblioteca,alta
1553,"Buenas tardes, Quiero reservar una sala de estudio en la biblioteca.",biblioteca,media
1119,Me aparece un cruce de horarios entre Machine Learning y otra materia al matricular.,matricula,baja
1576,No puedo descargar artículos de la base de datos institucional.,biblioteca,alta
1166,Necesito adicionar la materia Inteligencia Artificial pero ya cerró el periodo dea diciones.,matricula,alta
1023,"Cordial saludo, Pagué el recibo de matrícula pero el sistema sigue mostrándome como no matriculado.",matricula,alta
1321,"Buenos días, El profesor de Estdaística no ha subido las notas y mañana cierra el semestre.",biblioteca,alta
1008,"Buenos días, ¿Puedo hacer una adición extemporánea de Machine Learning?",matricula,media
1164,"Hola, Necesito adicionar la materia Estadística pero ya cerró el periodo de adiciones.",matricula,alta
1485,"Apreciado equipo de soporte, No puedo iniciar sesión en el SIA, me dice usuario o contraseña incorrectos.",plataforma,alta
1449,La página de la universidad está muy lenta hoy.,plataforma,baja
1869,Tengo problemas para acceder a Moodle y ver mis calificaciones.,plataforma,media
1521,"Estimados, Soolicito ampliar el plazo de préstamo de un libro para mi tesis.",certificados,baja
1595,"Apreciado equipo de soporte, Solicito ampliar el plazo de préstamo de un libro para mi tesis.",biblioteca,media
1231,"Estimados, ¿Cuándo se publican las notas definitivas del semestre 2026-1?",notas,baja
1460,"Estimados, El portal académico me muestra un error 500 al ingresar. Es para hoy.",plataforma,alta
1611,"Hola, Me aparece una multa en la biblioteca que no reconozco.",biblioteca,media
1741,"Hola, Solicito una constancia de estudios para un trámite laboral.",certificados,media
1271,¿Dónde puedo consultar mi historia académica con las notas?,notas,media
1062,"Hola, ¿Cuándo abre el periodo de matrícula para el semestre 2026-2?",matricula,baja
1815,"Buenas tardes, ¿Cómo descargo el certificado de notas desde el SIA?",certificados,baja
1567,"Apreciado equipo de soporte, Me aparece una multa en la biblioteca que no reconozco.",biblioteca,media
1205,"Apreciado equipo de soporte, El sistema no muestra la nota de Inteligencia Artificial aunque ya presenté el examen.",notas,media
1526,"Estimados, El sistema de la bibliotecan o me deja hacer el préstamo de un ejemplar.",biblioteca,media
1001,"Estimados, ¿Puedo hacer una adición extemporánea de Programación? Es para hoy.",matricula,alta
1457,"Cordial saludo, El portal académico me muestra un error 500 al ingresar.",notas,alta
1169,"Estimados, Quiero saber cuántos créditos puedo inscribir este semestre.",matricula,baja
1719,"Hola, Necesito constancia de matrícula para el sisbén / EPS. Tengo plazo hasta hoy.",certificados,alta
1458,"Buenos días, El portal académico me muestra un error 500 al ingresar.",plataforma,alta
1623,"Apreciado equipo de soporte, Solicito ampliar el plazo de préstamo de un libro para mi tesis.",biblioteca,media
1724,"Cordial saludo, ¿Dónde solicito el diploma y acta de grado?",certificados,baja
1184,"Hola, ¿Dónde puedo consultar mi historia académica con las notas?",notas,media
1122,"Buenas tardes, Solicito información sobre el proceso de matrícula de la maestría.",matricula,baja
1801,"Estimados, Necesito un certificado de notas con urgencia para una beca que cierra hoy.",certificados,alta
1430,La plataforma SIA se cae cada vez que intento matricular.,plataforma,media
1189,El profesor de Estadística no ha subido las notas y mañana cierra el semestre.,notas,alta
1610,El sistema de la biblioteca no me deja hacer el préstamo de un ejemplar.,biblioteca,media
1219,"Hola, Quiero hacer un reclamo de calificación en la asignatura Redes Neuronales.",notas,media
